 num     #instances         #bytes  class name (module)
 347:           315          20160  fuck_the_regulations_v321.eH
 348:            50          20000  com.intellij.openapi.actionSystem.impl.ActionToolbarImpl$3
 349:           138          19872  [Lcom.sun.prism.impl.GlyphCache$GlyphData; (javafx.graphics@11.0.7)
 350:            99          19800  org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl
 351:           819          19656  java.util.ArrayDeque (java.base@11.0.7)
 352:           614          19648  com.intellij.ide.plugins.IdeaPluginDescriptorImpl$PluginDependency
 353:           204          19584  javax.swing.text.html.InlineView (java.desktop@11.0.7)
 354:           609          19488  com.intellij.patterns.compiler.PatternCompilerImpl$LazyPresentablePattern
 355:           812          19488  sun.security.util.DerInputStream (java.base@11.0.7)
 356:           808          19392  java.util.regex.Pattern$$Lambda$53/0x00000008001b6840 (java.base@11.0.7)
 357:           269          19368  com.intellij.util.JBHiDPIScaledImage
 358:           482          19280  jdk.internal.ref.Cleaner (java.base@11.0.7)
 359:           176          19200  [D (java.base@11.0.7)
 360:           798          19152  com.intellij.codeInspection.ex.GlobalInspectionToolWrapper
 361:           796          19104  [Lsun.security.x509.AVA; (java.base@11.0.7)
 362:           796          19104  sun.security.x509.AVA (java.base@11.0.7)
 363:           796          19104  sun.security.x509.RDN (java.base@11.0.7)
 364:          1187          18992  java.util.regex.Pattern$$Lambda$1261/0x0000000801123c40 (java.base@11.0.7)
 365:           791          18984  scala.collection.immutable.$colon$colon
 366:          1186          18976  [Ljava.security.Principal; (java.base@11.0.7)
 367:          1186          18976  java.security.ProtectionDomain$Key (java.base@11.0.7)
 368:           474          18960  com.intellij.ide.fileTemplates.impl.DefaultTemplate
 369:           335          18760  sun.security.ssl.CipherSuite (java.base@11.0.7)
 370:           468          18720  com.intellij.util.io.ReadWriteDirectBufferWrapper
 371:           194          18624  java.util.jar.JarFile$JarFileEntry (java.base@11.0.7)
 372:            34          18496  com.intellij.openapi.actionSystem.impl.ActionMenu
 373:           577          18464  org.jetbrains.kotlin.name.FqNameUnsafe
 374:           461          18440  com.intellij.openapi.editor.markup.AttributesFlyweight$FlyweightKey
 375:           763          18312  com.intellij.serialization.stateProperties.ObjectStoredProperty
 376:           570          18240  javax.swing.text.html.CSS$LengthValue (java.desktop@11.0.7)
 377:           759          18216  java.util.concurrent.atomic.AtomicLong (java.base@11.0.7)
 378:          1118          17888  java.util.LinkedHashSet (java.base@11.0.7)
 379:           446          17840  java.lang.Package$VersionInfo (java.base@11.0.7)
 380:           742          17808  scala.collection.mutable.ArrayBuffer
 381:           278          17792  kotlin.reflect.jvm.internal.KMutableProperty1Impl
 382:           676          17768  [Ljavax.swing.text.AbstractDocument$AbstractElement; (java.desktop@11.0.7)
